Complaint ID 1,Complaint ID 2,threshold

"3238275
","3235783
",50.0

"3238275
","3235763
",33.33333333333333

"3238275
","3234819
",100.0

"3238228
","3235783
",50.0

"3238228
","3235763
",33.33333333333333

"3238228
","3234819
",100.0

"3237964
",222XX,100.0

"3237964
",704XX,100.0

"3237964
",200XX,100.0

"3237964
",CA,100.0

"3237964
","3234221
",100.0

"3238479
",840XX,100.0

"3238479
",810XX,100.0

"3238479
",38116,100.0

"3238479
","3235709
",100.0

"3238479
",33436,100.0

"3238479
","3235595
",100.0

"3238479
",20785,33.33333333333333

"3238479
",152XX,33.33333333333333

"3238479
",30328,100.0

"3238479
",532XX,100.0

"3238479
",064XX,100.0

"3238479
","3234043
",100.0

"3238479
","3234228
",100.0

"3238479
","3234914
",100.0

"3238479
","3234230
",33.33333333333333

"3238479
",776XX,100.0

"3238460
","3235783
",50.0

"3238460
","3235763
",33.33333333333333

"3238460
","3234819
",100.0

"3237885
","3235783
",50.0

"3237885
","3234830
",50.0

"3238221
","3237673
",33.33333333333333

"3238221
","3236629
",66.66666666666666

"3238221
","3235763
",33.33333333333333

"3238221
","3234232
",33.33333333333333

296XX,"3236012
",100.0

296XX,"3236759
",100.0

296XX,"3236160
",100.0

296XX,462XX,100.0

296XX,775XX,100.0

296XX,782XX,100.0

296XX,953XX,100.0

296XX,"3234253
",100.0

296XX,672XX,100.0

296XX,"3234536
",100.0

296XX,750XX,100.0

296XX,432XX,100.0

296XX,06460,100.0

296XX,"3234900
",100.0

296XX,19134,100.0

296XX,"3234266
",100.0

296XX,358XX,100.0

296XX,850XX,100.0

296XX,"3233866
",100.0

296XX,"3235086
",100.0

296XX,902XX,100.0

296XX,070XX,100.0

"3238458
",840XX,100.0

"3238458
",810XX,100.0

"3238458
",38116,100.0

"3238458
","3235709
",100.0

"3238458
",33436,100.0

"3238458
","3235595
",100.0

"3238458
",20785,33.33333333333333

"3238458
",152XX,33.33333333333333

"3238458
",30328,100.0

"3238458
",532XX,100.0

"3238458
",064XX,100.0

"3238458
","3234043
",100.0

"3238458
","3234228
",100.0

"3238458
","3234914
",100.0

"3238458
","3234230
",33.33333333333333

"3238458
",776XX,100.0

"3238036
","3237673
",66.66666666666666

"3238036
","3236629
",100.0

"3238036
","3235763
",33.33333333333333

"3238036
","3234232
",66.66666666666666

"3237941
",22031,100.0

"3237941
","3235195
",100.0

"3237941
","3235372
",100.0

774XX,22031,100.0

774XX,"3235195
",100.0

774XX,"3235372
",100.0

"3237837
",64130,100.0

"3237837
",303XX,100.0

"3237837
","3236063
",100.0

"3237837
","3236110
",100.0

"3237837
",760XX,100.0

"3237928
","3236297
",100.0

"3237928
","3236260
",100.0

"3237928
",GA,100.0

"3237928
",704XX,100.0

14609,222XX,100.0

14609,704XX,100.0

14609,200XX,100.0

14609,CA,100.0

14609,"3234221
",100.0

852XX,"3236012
",100.0

852XX,"3236759
",100.0

852XX,"3236160
",100.0

852XX,462XX,100.0

852XX,775XX,100.0

852XX,782XX,100.0

852XX,953XX,100.0

852XX,"3234253
",100.0

852XX,672XX,100.0

852XX,"3234536
",100.0

852XX,750XX,100.0

852XX,432XX,100.0

852XX,06460,100.0

852XX,"3234900
",100.0

852XX,19134,100.0

852XX,"3234266
",100.0

852XX,358XX,100.0

852XX,850XX,100.0

852XX,"3233866
",100.0

852XX,"3235086
",100.0

852XX,902XX,100.0

852XX,070XX,100.0

"3237160
","3235783
",50.0

"3237160
","3235763
",33.33333333333333

"3237160
","3234819
",100.0

087XX,22031,100.0

087XX,"3235195
",100.0

087XX,"3235372
",100.0

"3237404
",22031,100.0

"3237404
","3235195
",100.0

"3237404
","3235372
",100.0

OH,"3235722
",100.0

OH,79747,100.0

OH,297XX,100.0

OH,"3234885
",100.0

OH,85710,100.0

OH,85710,100.0

944XX,"3236729
",100.0

944XX,"3235410
",100.0

28216,"3236012
",100.0

28216,"3236759
",100.0

28216,"3236160
",100.0

28216,462XX,100.0

28216,775XX,100.0

28216,782XX,100.0

28216,953XX,100.0

28216,"3234253
",100.0

28216,672XX,100.0

28216,"3234536
",100.0

28216,750XX,100.0

28216,432XX,100.0

28216,06460,100.0

28216,"3234900
",100.0

28216,19134,100.0

28216,"3234266
",100.0

28216,358XX,100.0

28216,850XX,100.0

28216,"3233866
",100.0

28216,"3235086
",100.0

28216,902XX,100.0

28216,070XX,100.0

"3237655
",840XX,100.0

"3237655
",810XX,100.0

"3237655
",38116,100.0

"3237655
","3235709
",100.0

"3237655
",33436,100.0

"3237655
","3235595
",100.0

"3237655
",20785,33.33333333333333

"3237655
",152XX,33.33333333333333

"3237655
",30328,100.0

"3237655
",532XX,100.0

"3237655
",064XX,100.0

"3237655
","3234043
",100.0

"3237655
","3234228
",100.0

"3237655
","3234914
",100.0

"3237655
","3234230
",33.33333333333333

"3237655
",776XX,100.0

"3237100
",840XX,33.33333333333333

"3237100
",810XX,33.33333333333333

"3237100
",38116,33.33333333333333

"3237100
","3235709
",33.33333333333333

"3237100
",33436,33.33333333333333

"3237100
","3235595
",33.33333333333333

"3237100
",20785,100.0

"3237100
",152XX,100.0

"3237100
",30328,33.33333333333333

"3237100
",532XX,33.33333333333333

"3237100
",064XX,33.33333333333333

"3237100
","3234043
",33.33333333333333

"3237100
","3234228
",33.33333333333333

"3237100
","3234914
",33.33333333333333

"3237100
","3234230
",100.0

"3237100
",776XX,33.33333333333333

60025,"3235722
",100.0

60025,79747,100.0

60025,297XX,100.0

60025,"3234885
",100.0

60025,85710,100.0

60025,85710,100.0

33056,"3236012
",100.0

33056,"3236759
",100.0

33056,"3236160
",100.0

33056,462XX,100.0

33056,775XX,100.0

33056,782XX,100.0

33056,953XX,100.0

33056,"3234253
",100.0

33056,672XX,100.0

33056,"3234536
",100.0

33056,750XX,100.0

33056,432XX,100.0

33056,06460,100.0

33056,"3234900
",100.0

33056,19134,100.0

33056,"3234266
",100.0

33056,358XX,100.0

33056,850XX,100.0

33056,"3233866
",100.0

33056,"3235086
",100.0

33056,902XX,100.0

33056,070XX,100.0

"3237247
","3235722
",100.0

"3237247
",79747,100.0

"3237247
",297XX,100.0

"3237247
","3234885
",100.0

"3237247
",85710,100.0

"3237247
",85710,100.0

28752,"3236012
",100.0

28752,"3236759
",100.0

28752,"3236160
",100.0

28752,462XX,100.0

28752,775XX,100.0

28752,782XX,100.0

28752,953XX,100.0

28752,"3234253
",100.0

28752,672XX,100.0

28752,"3234536
",100.0

28752,750XX,100.0

28752,432XX,100.0

28752,06460,100.0

28752,"3234900
",100.0

28752,19134,100.0

28752,"3234266
",100.0

28752,358XX,100.0

28752,850XX,100.0

28752,"3233866
",100.0

28752,"3235086
",100.0

28752,902XX,100.0

28752,070XX,100.0

"3237657
","3236297
",100.0

"3237657
","3236260
",100.0

"3237657
",GA,100.0

"3237657
",704XX,100.0

328XX,840XX,100.0

328XX,810XX,100.0

328XX,38116,100.0

328XX,"3235709
",100.0

328XX,33436,100.0

328XX,"3235595
",100.0

328XX,20785,33.33333333333333

328XX,152XX,33.33333333333333

328XX,30328,100.0

328XX,532XX,100.0

328XX,064XX,100.0

328XX,"3234043
",100.0

328XX,"3234228
",100.0

328XX,"3234914
",100.0

328XX,"3234230
",33.33333333333333

328XX,776XX,100.0

"3237515
","3236012
",100.0

"3237515
","3236759
",100.0

"3237515
","3236160
",100.0

"3237515
",462XX,100.0

"3237515
",775XX,100.0

"3237515
",782XX,100.0

"3237515
",953XX,100.0

"3237515
","3234253
",100.0

"3237515
",672XX,100.0

"3237515
","3234536
",100.0

"3237515
",750XX,100.0

"3237515
",432XX,100.0

"3237515
",06460,100.0

"3237515
","3234900
",100.0

"3237515
",19134,100.0

"3237515
","3234266
",100.0

"3237515
",358XX,100.0

"3237515
",850XX,100.0

"3237515
","3233866
",100.0

"3237515
","3235086
",100.0

"3237515
",902XX,100.0

"3237515
",070XX,100.0

08619,"3235783
",50.0

08619,"3234830
",50.0

297XX,840XX,100.0

297XX,810XX,100.0

297XX,38116,100.0

297XX,"3235709
",100.0

297XX,33436,100.0

297XX,"3235595
",100.0

297XX,20785,33.33333333333333

297XX,152XX,33.33333333333333

297XX,30328,100.0

297XX,532XX,100.0

297XX,064XX,100.0

297XX,"3234043
",100.0

297XX,"3234228
",100.0

297XX,"3234914
",100.0

297XX,"3234230
",33.33333333333333

297XX,776XX,100.0

132XX,"3235722
",100.0

132XX,79747,100.0

132XX,297XX,100.0

132XX,"3234885
",100.0

132XX,85710,100.0

132XX,85710,100.0

"3237250
","3236012
",100.0

"3237250
","3236759
",100.0

"3237250
","3236160
",100.0

"3237250
",462XX,100.0

"3237250
",775XX,100.0

"3237250
",782XX,100.0

"3237250
",953XX,100.0

"3237250
","3234253
",100.0

"3237250
",672XX,100.0

"3237250
","3234536
",100.0

"3237250
",750XX,100.0

"3237250
",432XX,100.0

"3237250
",06460,100.0

"3237250
","3234900
",100.0

"3237250
",19134,100.0

"3237250
","3234266
",100.0

"3237250
",358XX,100.0

"3237250
",850XX,100.0

"3237250
","3233866
",100.0

"3237250
","3235086
",100.0

"3237250
",902XX,100.0

"3237250
",070XX,100.0

85713,"3236012
",100.0

85713,"3236759
",100.0

85713,"3236160
",100.0

85713,462XX,100.0

85713,775XX,100.0

85713,782XX,100.0

85713,953XX,100.0

85713,"3234253
",100.0

85713,672XX,100.0

85713,"3234536
",100.0

85713,750XX,100.0

85713,432XX,100.0

85713,06460,100.0

85713,"3234900
",100.0

85713,19134,100.0

85713,"3234266
",100.0

85713,358XX,100.0

85713,850XX,100.0

85713,"3233866
",100.0

85713,"3235086
",100.0

85713,902XX,100.0

85713,070XX,100.0

276XX,840XX,100.0

276XX,810XX,100.0

276XX,38116,100.0

276XX,"3235709
",100.0

276XX,33436,100.0

276XX,"3235595
",100.0

276XX,20785,33.33333333333333

276XX,152XX,33.33333333333333

276XX,30328,100.0

276XX,532XX,100.0

276XX,064XX,100.0

276XX,"3234043
",100.0

276XX,"3234228
",100.0

276XX,"3234914
",100.0

276XX,"3234230
",33.33333333333333

276XX,776XX,100.0

"3237137
",222XX,100.0

"3237137
",704XX,100.0

"3237137
",200XX,100.0

"3237137
",CA,100.0

"3237137
","3234221
",100.0

07735,"3234471
",100.0

"3236888
","3235763
",50.0

"3236888
","3234164
",40.0

"3237300
",840XX,100.0

"3237300
",810XX,100.0

"3237300
",38116,100.0

