50,Credit card prepaid card,Fees interest,NAVY FEDERAL CREDIT UNION,WI,546XX,3237779
51,Debt collection,Written notification debt,GETM INCORPORATED,CA,924XX,3236826
53,Debt collection,Written notification debt,Ad Astra Recovery Services Inc,TX,777XX,3237308
54,Checking savings account,Problem lender compny chrging ccount,NAVY FEDERAL CREDIT UNION,MD,207XX,3237252
55,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",CA,949XX,3236867
57,Vehicle loan lease,Managing loan lease,ALLY FINANCIAL INC.,MN,550XX,3236982
58,Debt collection,Communication tactics,"Diversified Consultants, Inc.",NV,89119,3237211
60,Debt collection,Attempts collect debt owed,"EQUIFAX, INC.",TX,77082,3236934
62,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",GA,30126,3236941
63,Credit reporting credit repair services personal consumer reports,Problem credit reporting compnys investigtion n existing problem,"EQUIFAX, INC.",NC,28540,3236914
64,Debt collection,Attempts collect debt owed,"Sa-Vit Enterprises, Inc.",NJ,070XX,3236776
65,Debt collection,Attempts collect debt owed,CHARLESTON AREA MEDICAL CENTER,WV,26003,3236752
66,Checking savings account,Managing account,ALLY FINANCIAL INC.,NV,89123,3237556
67,Debt collection,Attempts collect debt owed,Perfection Collection,FL,329XX,3235461
68,Debt collection,Took threatened take negative legal action,CNG FINANCIAL CORPORATION,IL,604XX,3235984
69,Debt collection,Attempts collect debt owed,"The CMI Group, Inc.",FL,329XX,3235493
70,Credit reporting credit repair services personal consumer reports,Incorrect information report,"EQUIFAX, INC.",FL,339XX,3235467
71,Credit reporting credit repair services personal consumer reports,Problem credit reporting compnys investigtion n existing problem,"EQUIFAX, INC.",NY,104XX,3235814
72,Debt collection,Attempts collect debt owed,"ASSET MANAGEMENT OUTSOURCING, INC.",GA,30331,3236113
73,Debt collection,Attempts collect debt owed,NAVY FEDERAL CREDIT UNION,LA,70115,3236254
74,Debt collection,Attempts collect debt owed,"NRA Group, LLC",MA,016XX,3235537
75,Checking savings account,Problem caused funds low,BB&T CORPORATION,GA,30510,3237603
